Movie Name,Genre,Released Year,Ratings,Actors,Co-Actors,Directors,Mood Type
The Shawshank Redemption,Drama,1994,9.2,Tim Robbins,"Morgan Freeman, Bob Gunton",Frank Darabont,Hopeful
The Dark Knight,Action,2008,9.0,Christian Bale,"Heath Ledger, Aaron Eckhart",Christopher Nolan,Intense
The Godfather,Crime,1972,9.2,Marlon Brando,"Al Pacino, James Caan",Francis Ford Coppola,Gritty
Pulp Fiction,Crime,1994,8.9,John Travolta,"Samuel L. Jackson, Uma Thurman",Quentin Tarantino,Quirky
The Lord of the Rings: The Return of the King,Adventure,2003,9.2,Elijah Wood,"Viggo Mortensen, Ian McKellen",Peter Jackson,Epic
12 Angry Men,Drama,1957,9.0,Henry Fonda,"Martin Balsam, E.G. Marshall",Sidney Lumet,Tense
Schindler's List,Biography,1993,8.9,Liam Neeson,"Ben Kingsley, Ralph Fiennes",Steven Spielberg,Emotional
The Matrix,Science Fiction,1999,8.7,Keanu Reeves,"Laurence Fishburne, Carrie-Anne Moss",The Wachowskis,Thought-provoking
Forrest Gump,Drama,1994,8.8,Tom Hanks,"Robin Wright, Gary Sinise",Robert Zemeckis,Inspiring
Inception,Action,2010,8.8,Leonardo DiCaprio,"Joseph Gordon-Levitt, Ellen Page",Christopher Nolan,Mind-bending
The Silence of the Lambs,Thriller,1991,8.6,Jodie Foster,"Anthony Hopkins, Scott Glenn",Jonathan Demme,Suspenseful
The Avengers,Action,2012,8.1,Robert Downey Jr.,"Chris Evans, Mark Ruffalo",Joss Whedon,Exciting
The Prestige,Mystery,2006,8.1,Hugh Jackman,"Christian Bale, Scarlett Johansson",Christopher Nolan,Intriguing
Interstellar,Science Fiction,2014,8.1,Matthew McConaughey,"Anne Hathaway, Jessica Chastain",Christopher Nolan,Thought-provoking
La La Land,Romance,2016,8.0,Ryan Gosling,"Emma Stone, John Legend",Damien Chazelle,Dreamy
The Social Network,Biography,2010,7.9,Jesse Eisenberg,"Andrew Garfield, Justin Timberlake",David Fincher,Intense
Mad Max: Fury Road,Action,2015,8.1,Tom Hardy,"Charlize Theron, Nicholas Hoult",George Miller,Adrenaline-fueled
The Grand Budapest Hotel,Comedy,2014,8.1,Ralph Fiennes,"F. Murray Abraham, Mathieu Amalric",Wes Anderson,Whimsical
The Wolf of Wall Street,Biography,2013,8.2,Leonardo DiCaprio,"Jonah Hill, Margot Robbie",Martin Scorsese,Wild
Parasite,Comedy,2019,8.8,Song Kang-ho,"Lee Sun-kyun, Cho Yeo-jeong",Bong Joon-ho,Darkly comedic
